sample_id,chip_path,mask_path,has_slick,slick_pixel_count,slick_sq_km,region
ZEN-SAR-0011,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0011.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0011.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0012,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0012.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0012.npy,1,1551,0.1551,Mumbai High Arabian Sea
ZEN-SAR-0013,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0013.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0013.npy,1,515,0.0515,Mumbai High Arabian Sea
ZEN-SAR-0014,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0014.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0014.npy,1,937,0.0937,Mumbai High Arabian Sea
ZEN-SAR-0015,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0015.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0015.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0016,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0016.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0016.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0017,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0017.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0017.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0018,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0018.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0018.npy,1,813,0.0813,Mumbai High Arabian Sea
ZEN-SAR-0019,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0019.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0019.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0020,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0020.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0020.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0021,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0021.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0021.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0022,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0022.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0022.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0023,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0023.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0023.npy,1,851,0.0851,Mumbai High Arabian Sea
ZEN-SAR-0024,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0024.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0024.npy,1,1009,0.1009,Mumbai High Arabian Sea
ZEN-SAR-0025,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0025.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0025.npy,1,859,0.0859,Mumbai High Arabian Sea
ZEN-SAR-0026,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0026.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0026.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0027,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0027.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0027.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0028,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0028.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0028.npy,1,1051,0.1051,Mumbai High Arabian Sea
ZEN-SAR-0029,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0029.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0029.npy,1,745,0.0745,Mumbai High Arabian Sea
ZEN-SAR-0030,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0030.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0030.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0031,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0031.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0031.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0032,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0032.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0032.npy,1,1193,0.1193,Mumbai High Arabian Sea
ZEN-SAR-0033,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0033.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0033.npy,1,471,0.0471,Mumbai High Arabian Sea
ZEN-SAR-0034,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0034.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0034.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0035,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0035.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0035.npy,1,933,0.0933,Mumbai High Arabian Sea
ZEN-SAR-0036,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0036.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0036.npy,1,615,0.0615,Mumbai High Arabian Sea
ZEN-SAR-0037,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0037.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0037.npy,1,1179,0.1179,Mumbai High Arabian Sea
ZEN-SAR-0038,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0038.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0038.npy,1,787,0.0787,Mumbai High Arabian Sea
ZEN-SAR-0039,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0039.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0039.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0040,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0040.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0040.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0041,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0041.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0041.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0042,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0042.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0042.npy,1,693,0.0693,Mumbai High Arabian Sea
ZEN-SAR-0043,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0043.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0043.npy,1,441,0.0441,Mumbai High Arabian Sea
ZEN-SAR-0044,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0044.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0044.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0045,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0045.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0045.npy,1,517,0.0517,Mumbai High Arabian Sea
ZEN-SAR-0046,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0046.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0046.npy,1,651,0.0651,Mumbai High Arabian Sea
ZEN-SAR-0047,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0047.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0047.npy,1,487,0.0487,Mumbai High Arabian Sea
ZEN-SAR-0048,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0048.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0048.npy,1,387,0.0387,Mumbai High Arabian Sea
ZEN-SAR-0049,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0049.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0049.npy,1,603,0.0603,Mumbai High Arabian Sea
ZEN-SAR-0050,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0050.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0050.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0051,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0051.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0051.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0052,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0052.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0052.npy,1,1173,0.1173,Mumbai High Arabian Sea
ZEN-SAR-0053,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0053.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0053.npy,1,1487,0.1487,Mumbai High Arabian Sea
ZEN-SAR-0054,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0054.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0054.npy,1,877,0.0877,Mumbai High Arabian Sea
ZEN-SAR-0055,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0055.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0055.npy,1,1351,0.1351,Mumbai High Arabian Sea
ZEN-SAR-0056,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0056.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0056.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0057,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0057.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0057.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0058,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0058.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0058.npy,1,645,0.0645,Mumbai High Arabian Sea
ZEN-SAR-0059,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0059.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0059.npy,1,789,0.0789,Mumbai High Arabian Sea
ZEN-SAR-0060,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0060.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0060.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0061,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0061.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0061.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0062,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0062.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0062.npy,1,925,0.0925,Mumbai High Arabian Sea
ZEN-SAR-0063,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0063.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0063.npy,1,993,0.0993,Mumbai High Arabian Sea
ZEN-SAR-0064,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0064.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0064.npy,1,393,0.0393,Mumbai High Arabian Sea
ZEN-SAR-0065,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0065.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0065.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0066,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0066.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0066.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0067,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0067.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0067.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0068,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0068.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0068.npy,1,601,0.0601,Mumbai High Arabian Sea
ZEN-SAR-0069,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0069.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0069.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0070,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0070.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0070.npy,1,743,0.0743,Mumbai High Arabian Sea
ZEN-SAR-0071,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0071.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0071.npy,1,1379,0.1379,Mumbai High Arabian Sea
ZEN-SAR-0072,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0072.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0072.npy,1,1757,0.1757,Mumbai High Arabian Sea
ZEN-SAR-0073,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0073.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0073.npy,1,787,0.0787,Mumbai High Arabian Sea
ZEN-SAR-0074,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0074.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0074.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0075,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0075.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0075.npy,1,851,0.0851,Mumbai High Arabian Sea
ZEN-SAR-0076,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0076.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0076.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0077,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0077.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0077.npy,1,1357,0.1357,Mumbai High Arabian Sea
ZEN-SAR-0078,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0078.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0078.npy,1,1081,0.1081,Mumbai High Arabian Sea
